Candidate_ID,Target_Star,Period_Days,Depth_ppm,CNN_Confidence,Radius_Earth,Mass_Earth,SemiMajorAxis_AU,Teq_K,Has_Atmosphere,Atmosphere_Regime,log_H2O,log_CO2
TIC_10000900.01,TIC_10000900,13.91167,915.5,99.7%,1.59,2.14,0.1109,506.7,EVET,UÇUCU ZENGİN İKİNCİL ATMOSFER (Sub-Neptün / Su Dünyası),-3.45,-3.39
TIC_10000900.02,TIC_10000900,14.03144,732.4,99.6%,1.42,1.77,0.1115,505.2,EVET,UÇUCU ZENGİN İKİNCİL ATMOSFER (Sub-Neptün / Su Dünyası),-3.46,-3.40
TIC_10000901.01,TIC_10000901,2.05741,1602.2,94.5%,2.53,4.70,0.0256,1136.5,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.29,-3.48
TIC_10000902.01,TIC_10000902,12.33262,6123.8,96.8%,3.74,9.14,0.0927,435.3,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.61,-3.79
TIC_10000903.01,TIC_10000903,3.01448,6184.9,97.9%,7.29,28.43,0.0314,1199.8,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.29,-3.47
TIC_10000904.01,TIC_10000904,4.74254,5279.5,96.2%,7.12,27.27,0.0490,671.4,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.44,-3.40
TIC_10000905.01,TIC_10000905,3.58074,10467.5,89.5%,7.52,29.92,0.0414,692.3,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.46,-3.41
TIC_10000906.01,TIC_10000906,3.56508,11901.9,91.3%,9.27,42.77,0.0438,924.8,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.46,-3.39
TIC_10000907.01,TIC_10000907,2.39269,7710.8,96.3%,8.32,35.58,0.0318,1265.0,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.28,-3.51
TIC_10000908.01,TIC_10000908,5.25478,2546.1,96.7%,3.39,7.72,0.0445,766.7,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.44,-3.41
